DATE,REVOLSL
2016-01-01,911.7307
2016-02-01,913.6404
2016-03-01,924.8057
2016-04-01,927.3958
2016-05-01,931.6313
2016-06-01,939.5301
2016-07-01,942.6965
2016-08-01,948.3063
2016-09-01,952.2508
2016-10-01,955.3078
2016-11-01,967.6337
2016-12-01,969.6323
2017-01-01,970.5187
2017-02-01,975.4803
2017-03-01,979.8672
2017-04-01,980.6683
2017-05-01,987.4624
2017-06-01,991.8880
2017-07-01,992.0818
2017-08-01,997.1717
2017-09-01,1003.2173
2017-10-01,1011.5175
